Roll,Pitchs,Yaws
2.29,1.95,-105.5
2.29,1.95,-105.5
2.29,1.95,-105.5
2.29,1.95,-105.5
2.29,1.95,-105.5
2.29,1.95,-105.5
2.29,1.95,-105.5
2.29,1.95,-105.5
2.29,1.95,-105.5
2.29,1.95,-105.5
2.29,1.95,-105.5
2.29,1.95,-105.5
2.29,1.95,-105.5
2.29,1.95,-105.5
2.29,1.95,-105.5
2.29,1.95,-105.5
2.29,1.95,-105.5
2.29,1.95,-105.5
2.29,1.95,-105.5
2.29,1.95,-105.5
2.29,1.95,-105.5
2.29,1.95,-105.5
2.29,1.95,-105.5
2.29,1.95,-105.5
2.29,1.95,-105.5
2.29,1.95,-105.5
2.29,1.95,-105.5
2.29,1.95,-105.5
2.29,1.95,-105.5
2.29,1.95,-105.5
